PlayerName,Year,League,g,pa,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hbp,sh,sf,so,ibb,gdp,MainPos,Pos_1b,Pos_2b,Pos_3b,Pos_c,Pos_cf,Pos_dh,Pos_lf,Pos_p,Pos_ph,Pos_pr,Pos_rf,Pos_ss,avg_value,avg_label,obp_value,obp_label,slg_value,slg_label,ops_value,ops_label,iso_value,iso_label
"
Jiandido Tromp
",2013,A--NYPL,33,117,107,9,32,8,9,1,1,8,6,1,1,1,0,25,0,2,Center Fielder,0,0,0,0,17,0,10,0,0,0,3,0,0.29906542056074764,.299,0.3241794454940902,.324,0.42990654205607476,.429,0.7803338924834251,.780,0.1308411214953271,.130
"
Jiandido Tromp
",2013,A-SALL,13,44,40,2,6,3,1,2,0,2,0,1,2,0,0,16,0,0,Right Fielder,0,0,0,0,4,0,0,0,0,0,8,0,0.15,.150,0.3239924571328334,.323,0.275,.275,0.5022727272727273,.502,0.125,.125
"
Jiandido Tromp
",2014,A--NYPL,69,288,259,39,69,33,14,2,14,19,16,5,4,5,1,72,0,5,Center Fielder,0,0,0,0,32,0,25,0,0,0,7,0,0.26640926640926643,.266,0.32393573253648605,.323,0.4980694980694981,.498,0.8175139425139425,.817,0.23166023166023167,.231
"
Jiandido Tromp
",2014,A-SALL,27,95,85,11,19,9,4,1,1,6,3,0,2,1,1,30,0,0,Left Fielder,0,0,0,0,4,0,14,0,0,0,5,0,0.2235294117647059,.223,0.3237729664452687,.323,0.32941176470588235,.329,0.6136222910216718,.613,0.10588235294117647,.105
"
Jiandido Tromp
",2015,A-SALL,113,451,412,42,89,44,18,6,9,27,10,5,4,4,4,117,0,7,Center Fielder,0,0,0,0,68,0,0,0,0,0,40,0,0.21601941747572814,.216,0.3226720819054872,.322,0.35436893203883496,.354,0.6204443200654425,.620,0.1383495145631068,.138
"
Jiandido Tromp
",2016,A+-FLOR,59,238,217,34,52,36,13,2,10,14,5,2,3,0,4,42,0,5,Left Fielder,0,0,0,0,6,0,25,0,0,0,11,0,0.23963133640552994,.239,0.3223455497382199,.322,0.45622119815668205,.456,0.7461371645432366,.746,0.21658986175115208,.216
"
Jiandido Tromp
",2016,A-SALL,65,269,241,36,66,32,20,3,10,22,9,2,1,3,2,58,0,6,Center Fielder,0,0,0,0,33,0,25,0,0,0,3,0,0.27385892116182575,.273,0.3224403578528827,.322,0.5062240663900415,.506,0.8370790849774021,.837,0.23236514522821577,.232
"
Jiandido Tromp
",2017,AA-EL,122,491,456,64,130,62,31,3,18,28,10,7,3,1,3,112,0,8,Right Fielder,0,0,0,0,1,0,38,0,0,0,63,0,0.2850877192982456,.285,0.3225492185914349,.322,0.48464912280701755,.484,0.8125513631328831,.812,0.19956140350877194,.199
"
Jiandido Tromp
",2017,AAA-IL,3,10,9,0,2,2,1,0,0,1,0,0,0,0,0,2,0,0,Left Fielder,0,0,0,0,0,0,3,0,0,0,0,0,0.2222222222222222,.222,0.32254006897950904,.322,0.3333333333333333,.333,0.6333333333333333,.633,0.1111111111111111,.111
"
Jiandido Tromp
",2017,FgW-VEWL,9,33,27,2,5,2,1,0,0,5,1,1,0,0,0,8,1,1,Right Fielder,0,0,0,0,0,0,0,0,0,0,8,0,0.18518518518518517,.185,0.32255450198557417,.322,0.2222222222222222,.222,0.5555555555555556,.555,0.037037037037037035,.037
"
Jiandido Tromp
",2018,AA-EL,89,328,289,40,65,23,12,3,4,33,4,3,4,1,1,83,0,12,Right Fielder,0,0,0,0,20,0,13,0,0,0,33,0,0.22491349480968859,.224,0.3224026233703911,.322,0.328719723183391,.328,0.6396953329394885,.639,0.10380622837370242,.103
"
Jiandido Tromp
",2018,AAA-IL,6,17,15,1,3,1,1,0,0,1,0,0,0,0,0,4,1,0,Left Fielder,0,0,0,0,2,0,2,0,0,0,2,0,0.2,.200,0.3223834072653159,.322,0.26666666666666666,.266,0.5607843137254902,.560,0.06666666666666667,.066
"
Jonathan Schoop
",2009,FRk-DOSL,68,284,247,28,59,35,7,3,0,24,11,3,6,6,1,39,0,7,Shortstop,0,0,0,0,0,0,0,0,0,0,0,66,0.2388663967611336,.238,0.3222823724661161,.322,0.291497975708502,.291,0.6048782573986429,.604,0.05263157894736842,.052
"
Jonathan Schoop
",2010,A+-CARL,6,22,21,5,5,3,3,0,0,1,0,0,0,0,0,4,0,2,Shortstop,0,0,0,0,0,0,1,0,0,0,0,1,0.23809523809523808,.238,0.322239330411781,.322,0.38095238095238093,.380,0.6536796536796536,.653,0.14285714285714285,.142
"
Jonathan Schoop
",2010,Rk-APPY,39,148,133,16,42,16,11,1,2,12,1,1,0,3,0,14,0,6,Shortstop,0,0,0,0,0,0,0,0,0,0,0,38,0.3157894736842105,.315,0.3224869490128351,.322,0.45864661654135336,.458,0.8235114814062182,.823,0.14285714285714285,.142
"
Jonathan Schoop
",2010,Rk-GULF,17,71,60,11,15,16,4,0,3,7,0,0,1,0,2,7,1,0,Shortstop,0,0,0,0,0,0,0,0,0,0,0,16,0.25,.250,0.32253013934554564,.322,0.4666666666666667,.466,0.8046948356807512,.804,0.21666666666666667,.216
