Name,Id,league
Adam Ottavino,493603,MLB
Johan Oviedo,670912,MLB
Chris Owings,572008,MLB
Marcell Ozuna,542303,MLB
Cristian Pache,665506,MLB
Chris Paddack,663978,MLB
Emilio Pagan,641941,MLB
Joe Palumbo,643478,MLB
Joe Panik,605412,MLB
Enoli Paredes,660600,MLB
Isaac Paredes,670623,MLB
Blake Parker,453284,MLB
Luis Patino,672715,MLB
James Paxton,572020,MLB
Joel Payamps,606303,MLB
Mark Payton,592622,MLB
James Pazos,572021,MLB
Brad Peacock,502748,MLB
Nate Pearson,663878,MLB
Joc Pederson,592626,MLB
Felix Pena,570240,MLB
Hunter Pence,452254,MLB
David Peralta,444482,MLB
Freddy Peralta,642547,MLB
Wandy Peralta,593974,MLB
Jose Peraza,606299,MLB
Angel Perdomo,622780,MLB
Luis Perdomo,606131,MLB
Cionel Perez,672335,MLB
Hector Perez,660431,MLB
Hernan Perez,541650,MLB
Martin Perez,527048,MLB
Michael Perez,605421,MLB
